# output generated by ../scripts/count_clip_sites.py -I ensembl75.gtf.gz --use-centre --feature=gene Cntrl-GFP.union.bam
# job started at Sun Jan 21 16:56:54 2018 on cgat-vm -- fa4b2579-6323-49f0-b345-114a61942c73
# pid: 27546, system: Linux 4.4.0-72-generic #93-Ubuntu SMP Fri Mar 31 14:07:41 UTC 2017 x86_64
# centre                                  : True
# feature                                 : gene
# loglevel                                : 1
# minus_wig                               : None
# plus_wig                                : None
# random_seed                             : None
# short_help                              : None
# stderr                                  : <open file \'<stderr>\', mode \'w\' at 0x7f04168fa1e0>
# stdin                                   : <gzip open file \'ensembl75.gtf.gz\', mode \'rb\' at 0x7f03fade8ed0 0x7f03fa7736d0>
# stdlog                                  : <open file \'<stdout>\', mode \'w\' at 0x7f04168fa150>
# stdout                                  : <open file \'<stdout>\', mode \'w\' at 0x7f04168fa150>
# timeit_file                             : None
# timeit_header                           : None
# timeit_name                             : all
# unstranded_wig                          : None
gene_id	transcript_id	exon_id	exon_count	intron_count
ENSG00000223972	ENST00000456328	NA	0.0	0.0
ENSG00000227232	ENST00000438504	NA	24.0	34.0
ENSG00000243485	ENST00000473358	NA	0.0	0.0
ENSG00000237613	ENST00000417324	NA	0.0	0.0
ENSG00000268020	ENST00000606857	NA	0.0	0.0
ENSG00000240361	ENST00000492842	NA	0.0	0.0
ENSG00000186092	ENST00000335137	NA	0.0	0.0
ENSG00000238009	ENST00000466430	NA	0.0	1.0
ENSG00000239945	ENST00000495576	NA	0.0	0.0
ENSG00000233750	ENST00000442987	NA	0.0	0.0
ENSG00000237683	ENST00000423372	NA	3.0	5.0
ENSG00000268903	ENST00000494149	NA	0.0	0.0
ENSG00000269981	ENST00000595919	NA	0.0	0.0
ENSG00000239906	ENST00000493797	NA	0.0	0.0
ENSG00000241860	ENST00000484859	NA	1.0	5.0
ENSG00000222623	ENST00000410691	NA	0.0	0.0
ENSG00000241599	ENST00000496488	NA	0.0	0.0
ENSG00000228463	ENST00000442116	NA	0.0	0.0
ENSG00000241670	ENST00000424429	NA	0.0	0.0
ENSG00000237094	ENST00000440038	NA	3.0	4.0
ENSG00000250575	ENST00000514436	NA	1.0	0.0
ENSG00000233653	ENST00000432723	NA	0.0	0.0
